지역,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
서울특별시,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시,21 ,13 ,14 ,17 ,16 ,25 ,25 ,15 ,8 
대구광역시,19 ,21 ,19 ,14 ,15 ,16 ,13 ,9 ,8 
인천광역시,134 ,119 ,115 ,112 ,100 ,93 ,82 ,61 ,60 
광주광역시,22 ,15 ,19 ,21 ,16 ,20 ,17 ,16 ,12 
대전광역시,26 ,20 ,19 ,12 ,15 ,14 ,9 ,5 ,6 
울산광역시,54 ,42 ,60 ,54 ,46 ,43 ,40 ,29 ,30 
세종특별자치시,0 ,0 ,0 ,0 ,0 ,0 ,85 ,116 ,106 
경기도,2587 ,2431 ,2382 ,2372 ,2210 ,1857 ,1984 ,2040 ,1962 
강원도,487 ,469 ,465 ,477 ,460 ,467 ,454 ,519 ,529 
충청북도,963 ,887 ,877 ,901 ,910 ,854 ,878 ,841 ,818 
충청남도,2035 ,1920 ,1980 ,1938 ,1850 ,1752 ,1741 ,1707 ,1624 
전라북도,1753 ,1686 ,1856 ,1858 ,1780 ,1865 ,1934 ,1891 ,1828 
전라남도,1162 ,1082 ,1129 ,1156 ,1142 ,1147 ,1200 ,1270 ,1199 
경상북도,2018 ,1752 ,1607 ,1682 ,1591 ,1509 ,1516 ,1372 ,1357 
경상남도,801 ,753 ,699 ,685 ,675 ,653 ,661 ,702 ,665 
제주도,243 ,222 ,210 ,230 ,223 ,212 ,216 ,226 ,216 
