month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
1,강원도,-4.4,0.2,1.4,60.0
1,경기도,-3.3,0.3,1.6,58.9
1,경상남도,0.1,0.4,1.6,54.5
1,경상북도,-0.3,0.6,2.3,50.7
1,부산광역시,3.1,0.5,3.3,41.8
1,전라남도,0.9,0.5,3.0,64.5
1,전라북도,-1.0,0.6,1.5,68.6
1,충청남도,-1.9,0.5,1.9,67.1
1,충청북도,-2.8,0.5,1.4,60.0
2,강원도,-0.5,0.9,1.3,53.3
2,경기도,-0.9,1.0,1.7,57.3
2,경상남도,3.9,1.7,2.1,54.9
2,경상북도,-0.1,0.9,3.5,51.9
2,울산광역시,3.9,1.1,2.3,51.8
2,인천광역시,0.1,1.0,3.3,57.9
2,전라남도,2.1,1.6,2.4,63.9
2,전라북도,1.2,1.2,1.9,66.0
2,제주특별자치도,6.5,3.0,3.5,65.0
2,충청남도,0.0,1.0,1.9,61.9
2,충청북도,-0.4,0.7,1.6,56.5
3,경기도,4.9,1.3,2.0,58.1
3,경상북도,7.3,1.9,2.5,54.8
3,세종특별자치시,6.3,1.6,2.1,56.4
3,전라남도,6.6,2.5,2.9,64.6
3,전라북도,5.9,1.9,2.3,63.0
3,충청남도,5.2,1.4,2.2,62.0
3,충청북도,5.9,1.5,1.8,54.7
4,경기도,11.4,2.5,2.0,56.9
4,경상남도,12.8,4.0,1.5,60.5
4,경상북도,12.8,2.1,2.2,52.5
4,울산광역시,13.6,2.9,2.4,57.3
4,전라남도,12.4,3.6,2.5,63.9
4,전라북도,12.0,2.2,2.2,62.1
4,충청남도,11.5,2.2,2.0,60.4
4,충청북도,12.7,2.2,1.8,52.1
5,강원도,18.1,2.3,1.4,60.6
5,경기도,17.8,2.3,1.6,59.1
5,경상남도,19.1,2.7,1.5,58.3
5,경상북도,18.2,2.1,1.9,57.2
5,대구광역시,20.3,1.8,2.3,50.0
5,부산광역시,18.4,4.2,3.0,61.4
5,서울특별시,18.8,2.4,2.5,53.3
5,울산광역시,18.6,2.4,2.1,61.7
5,전라남도,18.5,3.7,2.2,64.4
5,충청남도,17.8,2.7,1.5,65.5
6,강원도,23.0,4.4,1.3,63.8
6,경기도,22.2,3.1,1.4,70.9
6,경상남도,21.6,6.5,2.3,75.3
6,대구광역시,23.8,3.8,2.3,62.4
6,부산광역시,21.4,6.1,2.9,73.9
6,울산광역시,21.9,4.7,2.0,72.9
6,전라남도,22.4,4.6,2.1,77.2
6,전라북도,22.3,3.6,1.9,74.3
6,제주특별자치도,22.3,3.9,2.8,77.4
7,전라남도,25.1,10.4,2.0,84.3
9,광주광역시,22.6,4.4,1.8,74.1
9,전라남도,22.1,5.5,1.9,77.6
10,전라남도,16.2,2.3,2.0,70.7
11,강원도,3.9,1.9,1.5,72.3
11,경기도,5.8,2.1,1.5,67.8
11,경상북도,7.9,1.2,2.5,62.9
11,세종특별자치시,7.4,1.9,1.5,69.1
11,전라남도,9.2,1.6,2.5,69.3
11,전라북도,8.5,1.7,1.8,67.1
11,충청남도,6.4,2.0,1.8,69.1
11,충청북도,6.7,1.8,1.3,66.0
12,강원도,-4.8,0.8,1.3,71.0
12,경기도,-2.4,0.8,1.6,68.4
12,경상남도,4.0,1.2,2.5,54.1
12,경상북도,0.9,0.8,2.4,56.5
12,부산광역시,4.4,1.5,3.1,45.4
12,세종특별자치시,-0.4,1.2,1.4,70.2
12,울산광역시,3.2,0.8,2.3,48.9
12,인천광역시,-1.0,0.8,3.4,64.5
12,전라남도,2.2,1.4,2.1,68.8
12,전라북도,0.5,1.5,1.6,71.8
12,충청남도,-1.5,1.1,1.6,72.6
12,충청북도,-1.7,1.0,1.3,67.8
