발생일,지역코드,시도,시군구,year,month,day
210101,165,전라남도,무안군,2021,1,1
210103,232,충청남도,천안시,2021,1,3
210104,239,세종특별자치시,세종시,2021,1,4
210104,243,전라북도,부안군,2021,1,4
210105,127,충청북도,음성군,2021,1,5
210106,260,전라남도,영암군,2021,1,6
210107,165,전라남도,무안군,2021,1,7
210108,112,경기도,김포시,2021,1,8
210108,192,경상남도,진주시,2021,1,8
210109,284,경상남도,거창군,2021,1,9
210111,108,경기도,남양주시,2021,1,11
210111,162,경상남도,고성군,2021,1,11
210112,203,경기도,안성시,2021,1,12
210111,273,경상북도,문경시,2021,1,11
210112,245,전라북도,정읍시,2021,1,12
210112,232,충청남도,천안시,2021,1,12
210112,98,경기도,포천시,2021,1,12
210112,127,충청북도,음성군,2021,1,12
210113,177,충청남도,홍성군,2021,1,13
210113,203,경기도,안성시,2021,1,13
210114,192,경상남도,하동군,2021,1,14
210115,258,전라남도,보성군,2021,1,15
210115,146,전라북도,김제시,2021,1,15
210116,146,전라북도,김제시,2021,1,16
210118,127,충청북도,음성군,2021,1,18
210118,203,경기도,용인시,2021,1,18
210121,203,경기도,이천시,2021,1,21
210122,232,충청남도,천안시,2021,1,22
210122,165,전라남도,무안군,2021,1,22
210123,119,경기도,화성시,2021,1,23
210124,252,전라남도,함평군,2021,1,24
210126,98,경기도,포천시,2021,1,26
210126,99,경기도,파주시,2021,1,26
210126,203,경기도,이천시,2021,1,26
210126,203,경기도,안성시,2021,1,26
210127,203,경기도,안성시,2021,1,27
210127,251,전라북도,고창군,2021,1,27
210128,203,경기도,안성시,2021,1,28
210129,203,경기도,이천시,2021,1,29
210130,138,경상북도,포항시,2021,1,30
210131,203,경기도,안성시,2021,1,31
